--- trajectory (rz > 0.0 mm) ---
beam_energy:                        3.000 GeV
horizontal_deflection_angle:        -2.0483e+00 deg.
vertical_deflection_angle:          +0.0000e+00 deg.
trajectory_length:                  1000.3000000001589 mm
trajectory_nrpts:                   10004
trajectory_s_step:                  0.1 mm
max_abs_bx@trajectory:              +0.000000 Tesla at (s,rx,ry,rz) = (359.10000000001315,4.047081998698276,0.0,359.07506756724496) mm
max_abs_by@trajectory:              -0.572263 Tesla at (s,rx,ry,rz) = (176.59999999999425,6.826099711679888,0.0,176.5970482978405) mm
max_abs_bz@trajectory:              +0.000000 Tesla at (s,rx,ry,rz) = (610.0000000000701,-2.8561970895823228,0.0,609.8779671800802) mm
rx position of reference point:     +18.996009 mm
initial rx position of trajectory:  +7.710000 mm
sagitta:                            10.511015884243621 mm
